N,n_seg,build_s,solve_s,direct_s,speedup,mdot_table,mdot_direct,mdot_rel_diff,max_P_diff_Pa,max_T_diff_K,n_outside_grid,n_failed_build,error
75,20,6.968264818191528,1.5568392276763916,61.33074879646301,39.394400979990834,3287.039935103804,3287.0282795986454,3.545909608066364e-06,4403.735671929084,0.11388855083725957,0,0,
75,50,6.968264818191528,1.8156218528747559,70.52180171012878,38.84167928385993,3287.039935103804,3287.0282795986454,3.545909608066364e-06,4637.2397482157685,0.1182963920664406,0,0,
75,100,6.968264818191528,2.3292036056518555,98.28722476959229,42.19778147822566,3287.039935103804,3287.0282795986454,3.545909608066364e-06,22869.833643278107,0.5584787370622166,0,0,
75,200,6.968264818191528,3.350088119506836,149.69330763816833,44.6833940774682,3287.039935103804,3287.0282795986454,3.545909608066364e-06,20954.221022075508,0.5057522037984086,0,0,
75,400,6.968264818191528,6.13146448135376,239.02973675727844,38.98411831042741,3287.039935103804,3289.2708880562304,0.0006782515117642812,2475.854308336973,0.051583401239554405,0,0,
100,20,23.66561508178711,2.729792594909668,61.33074879646301,22.46718263901383,3287.0374776191384,3287.0282795986454,2.7982784784725042e-06,4158.977600161452,0.10723709892431543,0,0,
100,50,23.66561508178711,2.9404547214508057,70.52180171012878,23.983297955811977,3287.0374776191384,3287.0282795986454,2.7982784784725042e-06,4642.972192746121,0.11920033351333359,0,0,
100,100,23.66561508178711,3.5139851570129395,98.28722476959229,27.97030163130833,3287.0374776191384,3287.0282795986454,2.7982784784725042e-06,23088.200356810354,0.5644965890954268,0,0,
100,200,23.66561508178711,4.7760913372039795,149.69330763816833,31.34222046218275,3287.0374776191384,3287.0282795986454,2.7982784784725042e-06,21291.312714190222,0.514174558190291,0,0,
100,400,23.66561508178711,8.774302244186401,239.02973675727844,27.242022226400124,3287.0374776191384,3289.2708880562304,0.0006789986331627062,2492.878087071702,0.052127499491632534,0,0,
